data(decimal): 235, data(binary): 0011101011, data_error: 0, frame_error: 0
data(decimal): 236, data(binary): 0011101100, data_error: 0, frame_error: 0
data(decimal): 237, data(binary): 0011101101, data_error: 0, frame_error: 0
data(decimal): 238, data(binary): 0011101110, data_error: 0, frame_error: 0
data(decimal): 239, data(binary): 0011101111, data_error: 0, frame_error: 0
data(decimal): 240, data(binary): 0011110000, data_error: 0, frame_error: 0
data(decimal): 241, data(binary): 0011110001, data_error: 0, frame_error: 0
data(decimal): 242, data(binary): 0011110010, data_error: 0, frame_error: 0
data(decimal): 243, data(binary): 0011110011, data_error: 0, frame_error: 0
data(decimal): 244, data(binary): 0011110100, data_error: 0, frame_error: 0
data(decimal): 245, data(binary): 0011110101, data_error: 0, frame_error: 0
data(decimal): 246, data(binary): 0011110110, data_error: 0, frame_error: 0
data(decimal): 247, data(binary): 0011110111, data_error: 0, frame_error: 0
data(decimal): 248, data(binary): 0011111000, data_error: 0, frame_error: 0
data(decimal): 249, data(binary): 0011111001, data_error: 0, frame_error: 0
data(decimal): 250, data(binary): 0011111010, data_error: 0, frame_error: 0
data(decimal): 251, data(binary): 0011111011, data_error: 0, frame_error: 0
data(decimal): 252, data(binary): 0011111100, data_error: 0, frame_error: 0
data(decimal): 253, data(binary): 0011111101, data_error: 0, frame_error: 0
data(decimal): 254, data(binary): 0011111110, data_error: 0, frame_error: 0
data(decimal): 255, data(binary): 0011111111, data_error: 0, frame_error: 0
data(decimal): 256, data(binary): 0100000000, data_error: 0, frame_error: 0
data(decimal): 257, data(binary): 0100000001, data_error: 0, frame_error: 0
data(decimal): 258, data(binary): 0100000010, data_error: 0, frame_error: 0
data(decimal): 259, data(binary): 0100000011, data_error: 0, frame_error: 0
data(decimal): 260, data(binary): 0100000100, data_error: 0, frame_error: 0
data(decimal): 261, data(binary): 0100000101, data_error: 0, frame_error: 0
data(decimal): 262, data(binary): 0100000110, data_error: 0, frame_error: 0
data(decimal): 263, data(binary): 0100000111, data_error: 0, frame_error: 0
data(decimal): 264, data(binary): 0100001000, data_error: 0, frame_error: 0
data(decimal): 265, data(binary): 0100001001, data_error: 0, frame_error: 0
data(decimal): 266, data(binary): 0100001010, data_error: 0, frame_error: 0
data(decimal): 267, data(binary): 0100001011, data_error: 0, frame_error: 0
data(decimal): 268, data(binary): 0100001100, data_error: 0, frame_error: 0
data(decimal): 269, data(binary): 0100001101, data_error: 0, frame_error: 0
data(decimal): 270, data(binary): 0100001110, data_error: 0, frame_error: 0
data(decimal): 271, data(binary): 0100001111, data_error: 0, frame_error: 0
data(decimal): 272, data(binary): 0100010000, data_error: 0, frame_error: 0
data(decimal): 273, data(binary): 0100010001, data_error: 0, frame_error: 0
data(decimal): 274, data(binary): 0100010010, data_error: 0, frame_error: 0
data(decimal): 275, data(binary): 0100010011, data_error: 0, frame_error: 0
data(decimal): 276, data(binary): 0100010100, data_error: 0, frame_error: 0
data(decimal): 277, data(binary): 0100010101, data_error: 0, frame_error: 0
data(decimal): 278, data(binary): 0100010110, data_error: 0, frame_error: 0
data(decimal): 279, data(binary): 0100010111, data_error: 0, frame_error: 0
data(decimal): 280, data(binary): 0100011000, data_error: 0, frame_error: 0
data(decimal): 281, data(binary): 0100011001, data_error: 0, frame_error: 0
data(decimal): 282, data(binary): 0100011010, data_error: 0, frame_error: 0
data(decimal): 283, data(binary): 0100011011, data_error: 0, frame_error: 0
data(decimal): 284, data(binary): 0100011100, data_error: 0, frame_error: 0
data(decimal): 285, data(binary): 0100011101, data_error: 0, frame_error: 0
data(decimal): 286, data(binary): 0100011110, data_error: 0, frame_error: 0
data(decimal): 287, data(binary): 0100011111, data_error: 0, frame_error: 0
data(decimal): 288, data(binary): 0100100000, data_error: 0, frame_error: 0
data(decimal): 289, data(binary): 0100100001, data_error: 0, frame_error: 0
data(decimal): 290, data(binary): 0100100010, data_error: 0, frame_error: 0
data(decimal): 291, data(binary): 0100100011, data_error: 0, frame_error: 0
data(decimal): 292, data(binary): 0100100100, data_error: 0, frame_error: 0
data(decimal): 293, data(binary): 0100100101, data_error: 0, frame_error: 0
data(decimal): 294, data(binary): 0100100110, data_error: 0, frame_error: 0
data(decimal): 295, data(binary): 0100100111, data_error: 0, frame_error: 0
data(decimal): 296, data(binary): 0100101000, data_error: 0, frame_error: 0
data(decimal): 297, data(binary): 0100101001, data_error: 0, frame_error: 0
data(decimal): 298, data(binary): 0100101010, data_error: 0, frame_error: 0
data(decimal): 299, data(binary): 0100101011, data_error: 0, frame_error: 0
data(decimal): 300, data(binary): 0100101100, data_error: 0, frame_error: 0
data(decimal): 301, data(binary): 0100101101, data_error: 0, frame_error: 0
data(decimal): 302, data(binary): 0100101110, data_error: 0, frame_error: 0
data(decimal): 303, data(binary): 0100101111, data_error: 0, frame_error: 0
data(decimal): 304, data(binary): 0100110000, data_error: 0, frame_error: 0
data(decimal): 305, data(binary): 0100110001, data_error: 0, frame_error: 0
data(decimal): 306, data(binary): 0100110010, data_error: 0, frame_error: 0
data(decimal): 307, data(binary): 0100110011, data_error: 0, frame_error: 0
data(decimal): 308, data(binary): 0100110100, data_error: 0, frame_error: 0
data(decimal): 309, data(binary): 0100110101, data_error: 0, frame_error: 0
data(decimal): 310, data(binary): 0100110110, data_error: 0, frame_error: 0
data(decimal): 311, data(binary): 0100110111, data_error: 0, frame_error: 0
data(decimal): 312, data(binary): 0100111000, data_error: 0, frame_error: 0
data(decimal): 313, data(binary): 0100111001, data_error: 0, frame_error: 0
data(decimal): 314, data(binary): 0100111010, data_error: 0, frame_error: 0
data(decimal): 315, data(binary): 0100111011, data_error: 0, frame_error: 0
data(decimal): 316, data(binary): 0100111100, data_error: 0, frame_error: 0
data(decimal): 317, data(binary): 0100111101, data_error: 0, frame_error: 0
data(decimal): 318, data(binary): 0100111110, data_error: 0, frame_error: 0
data(decimal): 319, data(binary): 0100111111, data_error: 0, frame_error: 0
data(decimal): 320, data(binary): 0101000000, data_error: 0, frame_error: 0
data(decimal): 321, data(binary): 0101000001, data_error: 0, frame_error: 0
data(decimal): 322, data(binary): 0101000010, data_error: 0, frame_error: 0
data(decimal): 323, data(binary): 0101000011, data_error: 0, frame_error: 0
data(decimal): 324, data(binary): 0101000100, data_error: 0, frame_error: 0
data(decimal): 325, data(binary): 0101000101, data_error: 0, frame_error: 0
data(decimal): 326, data(binary): 0101000110, data_error: 0, frame_error: 0
data(decimal): 327, data(binary): 0101000111, data_error: 0, frame_error: 0
data(decimal): 328, data(binary): 0101001000, data_error: 0, frame_error: 0
data(decimal): 329, data(binary): 0101001001, data_error: 0, frame_error: 0
data(decimal): 330, data(binary): 0101001010, data_error: 0, frame_error: 0
data(decimal): 331, data(binary): 0101001011, data_error: 0, frame_error: 0
data(decimal): 332, data(binary): 0101001100, data_error: 0, frame_error: 0
data(decimal): 333, data(binary): 0101001101, data_error: 0, frame_error: 0
data(decimal): 334, data(binary): 0101001110, data_error: 0, frame_error: 0
data(decimal): 335, data(binary): 0101001111, data_error: 0, frame_error: 0
data(decimal): 336, data(binary): 0101010000, data_error: 0, frame_error: 0
data(decimal): 337, data(binary): 0101010001, data_error: 0, frame_error: 0
data(decimal): 338, data(binary): 0101010010, data_error: 0, frame_error: 0
data(decimal): 339, data(binary): 0101010011, data_error: 0, frame_error: 0
data(decimal): 340, data(binary): 0101010100, data_error: 0, frame_error: 0
data(decimal): 341, data(binary): 0101010101, data_error: 0, frame_error: 0
data(decimal): 342, data(binary): 0101010110, data_error: 0, frame_error: 0
data(decimal): 343, data(binary): 0101010111, data_error: 0, frame_error: 0
data(decimal): 344, data(binary): 0101011000, data_error: 0, frame_error: 0
data(decimal): 345, data(binary): 0101011001, data_error: 0, frame_error: 0
data(decimal): 346, data(binary): 0101011010, data_error: 0, frame_error: 0
data(decimal): 347, data(binary): 0101011011, data_error: 0, frame_error: 0
data(decimal): 348, data(binary): 0101011100, data_error: 0, frame_error: 0
data(decimal): 349, data(binary): 0101011101, data_error: 0, frame_error: 0
data(decimal): 350, data(binary): 0101011110, data_error: 0, frame_error: 0
data(decimal): 351, data(binary): 0101011111, data_error: 0, frame_error: 0
data(decimal): 352, data(binary): 0101100000, data_error: 0, frame_error: 0
data(decimal): 353, data(binary): 0101100001, data_error: 0, frame_error: 0
data(decimal): 354, data(binary): 0101100010, data_error: 0, frame_error: 0
data(decimal): 355, data(binary): 0101100011, data_error: 0, frame_error: 0
data(decimal): 356, data(binary): 0101100100, data_error: 0, frame_error: 0
data(decimal): 357, data(binary): 0101100101, data_error: 0, frame_error: 0
data(decimal): 358, data(binary): 0101100110, data_error: 0, frame_error: 0
data(decimal): 359, data(binary): 0101100111, data_error: 0, frame_error: 0
data(decimal): 360, data(binary): 0101101000, data_error: 0, frame_error: 0
data(decimal): 361, data(binary): 0101101001, data_error: 0, frame_error: 0
